Feature,Sample ID,Latitude,Longitude,Elevation (masl),Thickness (cm),Density (g/cm3),Shielding correction,Quartz (g),Be carrier added (g),10Be/9Be,± 1σ Uncertainty,Blank used for correction,Blank-corrected 10Be concentration (atoms/g),Blank-corrected 10Be uncertainty (atoms/g),Beage,Beuncertainty,Group
Sulung outer,15BBS-01,67.524712,-65.230293,709,2.5,2.44,0.994,30.6326,0.5916,3.13E-13,9.30E-15,A,1.44E+05,4.44E+03,16924,525,1
Sulung outer,15BBS-03,67.523281,-65.230379,687,2,2.58,0.994,29.7406,0.5942,2.44E-13,7.52E-15,A,1.14E+05,3.71E+03,13705,446,1
Sulung outer,15BBS-05,67.523181,-65.230509,682,2.4,2.65,0.994,29.8449,0.5933,3.46E-13,8.92E-15,A,1.64E+05,4.38E+03,19843,532,1
Sulung outer,15BBS-02,67.524527,-65.2302,706,2.2,2.61,0.994,30.2144,0.5947,1.68E-13,7.97E-15,C,8.03E+04,3.88E+03,9459,457,1
Sulung outer,15BBS-06,67.523187,-65.230529,687,2.1,2.58,0.994,30.0055,0.5952,1.60E-13,5.47E-15,C,7.75E+04,2.68E+03,9280,321,1
Sulung inner,15BBS-14,67.526259,-65.234197,710,1.5,2.55,0.993,30.262,0.5931,1.64E-13,8.60E-15,A,7.33E+04,4.16E+03,8560,487,1
Sulung inner,15BBS-15,67.526187,-65.234767,710,2.4,2.5,0.993,30.0837,0.5933,1.65E-13,5.40E-15,A,7.45E+04,2.63E+03,8754,310,1
Sulung inner,15BBS-19,67.525344,-65.234455,698,2,2.74,0.993,29.9369,0.5903,1.82E-13,5.77E-15,A,8.27E+04,2.81E+03,9820,334,1
Sulung inner,15BBS-20,67.525162,-65.234547,696,1.7,2.51,0.993,30.0283,0.5906,1.76E-13,6.33E-15,A,7.95E+04,3.07E+03,9418,365,1
Sulung inner,15BBS-16,67.52613,-65.234655,710,1.5,2.69,0.993,30.3429,0.5961,1.63E-13,7.82E-15,D,7.76E+04,3.79E+03,9064,444,1
Sulung inner,15BBS-17,67.526023,-65.234773,706,2.4,2.58,0.993,24.7117,0.595,1.22E-13,4.20E-15,C,7.11E+04,2.50E+03,8388,296,1
Narmak,15BNK-04,67.440336,-65.081133,606,1.7,2.55,0.964,30.0058,0.5948,1.41E-13,5.04E-15,B,6.75E+04,2.47E+03,8972,329,2
Narmak,15BNK-05,67.438459,-65.086233,663,1.8,2.54,0.978,30.0528,0.5962,1.55E-13,5.98E-15,B,7.43E+04,2.93E+03,9229,365,2
Narmak,15BNK-06,67.443648,-65.068267,522,1.8,2.54,0.995,30.3316,0.5992,1.23E-13,5.52E-15,B,5.81E+04,2.69E+03,8122,377,2
Narmak,15BNK-07,67.44398,-65.06768,515,1.8,2.54,0.995,30.2481,0.5952,1.28E-13,4.48E-15,B,6.06E+04,2.18E+03,8529,307,2
Narmak,15BNK-12,67.44271,-65.05567,479,2.4,2.49,0.997,27.5832,0.6004,1.17E-13,4.26E-15,B,6.10E+04,2.29E+03,8909,335,2
Narmak,15BNK-10,67.44304,-65.06122,487,2,2.59,0.997,30.6235,0.4853,1.87E-13,1.20E-14,D,7.18E+04,4.69E+03,10394,680,2
Narmak,15BNK-11,67.44293,-65.06129,487,1.6,2.53,0.997,30.7715,0.4865,1.67E-13,8.90E-15,D,6.38E+04,3.47E+03,9192,502,2
Narpaing inner,15BNP-02,67.725978,-65.590101,138,2.2,2.77,0.985,30.0877,0.5989,9.94E-14,3.64E-15,B,4.72E+04,1.79E+03,9958,379,3
Narpaing inner,15BNP-01,67.725031,-65.589063,147,1.7,2.47,0.985,21.2325,0.5976,6.01E-14,4.20E-15,C,4.03E+04,2.92E+03,8360,608,3
Narpaing inner,15BNP-03,67.728061,-65.589955,129,1.7,2.62,0.985,30.0542,0.5953,1.03E-13,3.69E-15,C,4.92E+04,1.81E+03,10425,384,3
Narpaing inner,15BNP-04,67.72862,-65.587514,129,2.9,2.55,0.985,30.2445,0.5957,7.06E-14,2.99E-15,C,3.33E+04,1.45E+03,7113,311,3
Narpaing inner,15BNP-05,67.728558,-65.587545,131,2.4,2.71,0.985,30.5646,0.5972,8.67E-14,4.32E-15,C,4.08E+04,2.08E+03,8675,444,3
Narpaing inner,15BNP-06,67.728505,-65.587632,126,1.9,2.36,0.985,30.6304,0.5948,7.26E-14,3.23E-15,C,3.38E+04,1.55E+03,7176,330,3
Narpaing outer,15BNP-08,67.729958,-65.593449,128,2.5,2.61,0.976,26.353,0.491,8.66E-14,6.78E-15,D,3.81E+04,3.12E+03,8213,673,3
Narpaing outer,15BNP-09,67.730089,-65.5935,132,2.5,2.69,0.976,31.1504,0.4904,2.10E-13,1.02E-14,D,8.01E+04,3.95E+03,17235,853,3
Narpaing outer,15BNP-10,67.730398,-65.592952,135,2.9,2.57,0.976,30.0703,0.4912,9.21E-14,6.81E-15,D,3.57E+04,2.75E+03,7644,590,3
Narpaing outer,15BNP-11,67.732426,-65.590364,143,2.3,2.64,0.976,17.0947,0.4853,6.12E-14,4.53E-15,D,4.03E+04,3.18E+03,8526,674,3
Qik,2-M14-B128,67.50638802,-64.69784796,648,4,2.65,0.994,37.0761,0.2162,4.56E-13,8.76E-15,E,6.42E+04,1.27E+03,8098,160,4
Qik,2-M14-B129,67.50174704,-64.69004902,632,4,2.65,0.994,40.0051,0.2188,4.63E-13,1.03E-14,E,6.11E+04,1.40E+03,7832,180,4
Qik,2-M14-B131,67.50088597,-64.69060902,619,2,2.65,0.994,40.0189,0.2167,8.31E-13,1.59E-14,E,1.10E+05,2.13E+03,14059,274,4
Okoa Fiord,15BOK-01,67.95261,-65.74335,38,3,2.65,0.981,35.9248,0.606,1.17E-13,2.13E-15,F,4.75E+04,1.04E+03,11350,248,5
Okoa Fiord,15BOK-02,67.95267,-65.74307,38,2,2.65,0.981,24.0253,0.6044,7.84E-14,1.42E-15,F,4.69E+04,1.05E+03,11095,250,5
Okoa Fiord,15BOK-03,67.95274,-65.74319,38,2,2.65,0.981,24.4209,0.6044,9.24E-14,1.69E-15,F,5.47E+04,1.00E+03,12969,238,5
Maktak Fiord,15BMK-01,67.32599,-64.28902,64,2,2.65,0.986,40.3734,0.6041,1.29E-13,2.34E-15,F,4.65E+04,8.49E+02,10625,194,6
Maktak Fiord,15BMK-02,67.32607,-64.2896,62,3,2.65,0.986,27.787,0.604,8.94E-14,1.45E-15,F,4.64E+04,7.81E+02,10713,181,6
Maktak Fiord,15BMK-03,67.32571,-64.28609,35,2,2.65,0.986,37.0332,0.6071,1.22E-13,1.75E-15,F,4.82E+04,1.20E+03,11385,284,6
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
*Blank values are as follows:,,,,,,,,,,,,,,,,,
A: 10Be atoms were background-corrected using the process blank value of 1.75x105 atoms (10Be/9Be ratio of 1.19 x10-14),,,,,,,,,,,,,,,,,
B: 10Be atoms were background-corrected using the process blank value of 4.95 x104 atoms (10Be/9Be ratio of 3.38 x10-15),,,,,,,,,,,,,,,,,
C: 10Be atoms were background-corrected using the process blank value of 3.22 x104 atoms (10Be/9Be ratio of 2.19 x10-15),,,,,,,,,,,,,,,,,
D: 10Be atoms were background-corrected using the process blank value of 4.51 x104 atoms (10Be/9Be ratio of 3.68 x10-15),,,,,,,,,,,,,,,,,
E: 10Be atoms were background-corrected using the process blank value of 6.71 x104 atoms (10Be/9Be ratio of 1.25 x10-14),,,,,,,,,,,,,,,,,
F: 10Be atoms were background corrected using the process blank value of 5.38x104 atoms (10Be/9Be ratio of 3.56 x10-15),,,,,,,,,,,,,,,,,
**Italicized ages are outliers excluded from summary statistics. ,,,,,,,,,,,,,,,,,
"  Ages are calculated using version 3 of the exposure age calculator found at https://hess.ess.washington.edu/ (wrapper: 3.0, muons: 1A, consts: 3.0.3), which implements an updated treatment",,,,,,,,,,,,,,,,,
"  of muon-based production (Balco et al., 2008; Balco, 2017). All ages are calculated using 'Lm' scaling and a Baffin Bay production rate of 4.04 ± 0.07 atoms g-1 yr-1 (Young et al., 2013a). This",,,,,,,,,,,,,,,,,
"  value has been updated from the CRONUS v2 value of 3.96 ± 0.07 atoms g-1 yr-1; the calibration dataset is the same. All samples use standard air pressure 'std', and an effective attenuation",,,,,,,,,,,,,,,,,
"  length of 160 g cm-2. 10Be concentrations are reported relative to 07KNSTD with a reported ratio of 2.85 x 10-12 using a 10Be half-life of 1.36 x 106 years (Nishiizumi et al., 2007).",,,,,,,,,,,,,,,,,